iter	Passed	Remaining
0	1	1480
1	2	1052
2	2	956
3	3	867
4	4	831
5	4	787
6	5	761
7	6	752
8	7	803
9	8	798
10	8	777
11	9	765
12	9	751
13	10	742
14	11	729
15	11	727
16	12	718
17	13	712
18	13	706
19	14	698
20	14	697
21	15	693
22	16	689
23	16	683
24	17	683
25	18	679
26	18	674
27	19	671
28	19	667
29	20	666
30	21	663
31	21	661
32	22	659
33	23	659
34	23	656
35	24	657
36	25	659
37	25	657
38	26	657
39	27	655
40	28	669
41	29	668
42	29	667
43	30	665
44	31	663
45	31	662
46	32	658
47	33	656
48	33	653
49	34	652
50	34	649
51	35	646
52	36	648
53	36	646
54	37	644
55	38	643
56	38	642
57	39	641
58	40	642
59	40	640
60	41	640
61	42	640
62	42	639
63	43	638
64	44	638
65	45	637
66	45	637
67	47	645
68	47	644
69	48	643
70	49	643
71	49	642
72	50	641
73	51	640
74	51	638
75	52	637
76	53	637
77	53	635
78	54	634
79	55	632
80	55	631
81	56	631
82	57	630
83	57	630
84	58	628
85	59	628
86	59	627
87	60	626
88	61	625
89	61	625
90	62	624
91	63	622
92	63	622
93	64	621
94	65	620
95	65	619
96	66	617
97	66	616
98	67	615
99	68	615
100	69	614
101	69	613
102	70	612
103	71	613
104	71	611
105	72	611
106	73	610
107	73	609
108	74	608
109	75	606
110	75	605
111	76	604
112	77	604
113	77	603
114	78	602
115	78	601
116	79	602
117	80	600
118	81	600
119	81	599
120	82	597
121	82	596
122	83	596
123	84	595
124	84	594
125	85	593
126	86	592
127	86	591
128	87	590
129	88	589
130	88	588
131	89	588
132	90	588
133	90	587
134	91	586
135	92	586
136	92	585
137	93	584
138	94	584
139	95	583
140	95	583
141	96	582
142	97	581
143	97	581
144	98	580
145	99	579
146	99	577
147	100	576
148	100	575
149	101	575
150	102	574
151	102	574
152	103	572
153	104	572
154	104	570
155	105	570
156	106	569
157	106	568
158	107	567
159	108	567
160	108	565
161	109	565
162	109	564
163	110	564
164	111	563
165	112	563
166	112	561
167	113	561
168	114	560
169	114	560
170	115	559
171	116	559
172	116	558
173	117	558
174	118	557
175	118	556
176	119	555
177	119	554
178	120	553
179	121	555
180	122	554
181	123	553
182	123	552
183	124	551
184	125	551
185	125	550
186	126	549
187	126	548
188	127	547
189	128	546
190	128	546
191	129	545
192	130	544
193	130	543
194	131	543
195	132	542
196	132	541
197	133	540
198	134	539
199	134	538
200	135	537
201	135	536
202	136	536
203	137	535
204	138	535
205	138	534
206	139	533
207	139	532
208	140	531
209	141	531
210	141	530
211	142	529
212	143	528
213	143	528
214	144	527
215	145	526
216	145	526
217	146	525
218	147	524
219	147	524
220	148	523
221	149	524
222	150	524
223	151	523
224	151	522
225	152	521
226	153	521
227	153	520
228	154	519
229	154	518
230	155	518
231	156	517
232	156	516
233	157	515
234	158	515
235	158	514
236	159	513
237	160	512
238	160	511
239	161	510
240	162	510
241	162	509
242	163	508
243	164	508
244	164	507
245	165	506
246	166	506
247	166	505
248	167	504
249	168	504
250	168	503
251	169	502
252	170	502
253	170	501
254	171	500
255	171	499
256	172	499
257	173	498
258	174	498
259	174	497
260	175	496
261	175	495
262	176	494
263	177	493
264	177	493
265	178	492
266	179	491
267	179	490
268	180	489
269	180	489
270	181	488
271	182	487
272	182	487
273	183	486
274	184	485
275	184	484
276	185	483
277	186	483
278	186	482
279	187	482
280	188	481
281	188	480
282	189	480
283	190	479
284	190	478
285	191	478
286	192	479
287	193	478
288	194	477
289	194	477
290	195	476
291	196	475
292	196	475
293	197	474
294	198	473
295	198	473
296	199	472
297	200	471
298	200	471
299	201	470
300	202	469
301	202	468
302	203	467
303	204	467
304	204	466
305	205	465
306	206	465
307	206	464
308	207	463
309	208	462
310	208	462
311	209	461
312	209	460
313	210	460
314	211	459
315	212	459
316	212	458
317	213	458
318	214	457
319	214	456
320	215	455
321	216	454
322	216	454
323	217	453
324	218	453
325	218	452
326	219	451
327	220	451
328	220	450
329	221	449
330	222	449
331	222	448
332	224	449
333	224	448
334	225	447
335	226	446
336	226	446
337	227	445
338	228	444
339	228	444
340	229	443
341	230	442
342	230	442
343	231	441
344	232	440
345	232	439
346	233	438
347	233	438
348	234	437
349	235	436
350	235	435
351	236	435
352	237	434
353	237	434
354	238	433
355	239	432
